"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2024","Quintile 2","18","Northern Ireland","Woman","510","1410","0.361"
"2015","Quintile 2","18","England","Woman","16980","60170","0.28200000000000003"
"2016","Quintile 2","18","England","Woman","17280","58620","0.295"
"2017","Quintile 2","18","England","Woman","17450","57780","0.302"
"2018","Quintile 2","18","England","Woman","17380","55940","0.311"
"2019","Quintile 2","18","England","Woman","17400","54490","0.319"
"2020","Quintile 2","18","England","Woman","18070","53580","0.337"
"2021","Quintile 2","18","England","Woman","20140","55240","0.364"
"2022","Quintile 2","18","England","Woman","20260","57140","0.355"
"2023","Quintile 2","18","England","Woman","19840","58960","0.337"
"2024","Quintile 2","18","England","Woman","20080","59560","0.337"
"2015","Quintile 2","18","Scotland","Woman","830","4830","0.171"
"2016","Quintile 2","18","Scotland","Woman","910","4510","0.201"
"2017","Quintile 2","18","Scotland","Woman","920","4500","0.20400000000000001"
"2018","Quintile 2","18","Scotland","Woman","900","4390","0.20400000000000001"
"2019","Quintile 2","18","Scotland","Woman","900","4230","0.214"
"2020","Quintile 2","18","Scotland","Woman","970","4160","0.232"
"2021","Quintile 2","18","Scotland","Woman","1120","4270","0.263"
"2022","Quintile 2","18","Scotland","Woman","1110","4360","0.254"
"2023","Quintile 2","18","Scotland","Woman","1090","4390","0.247"
"2024","Quintile 2","18","Scotland","Woman","1120","4700","0.23800000000000002"
"2015","Quintile 2","18","Wales","Woman","1320","4860","0.271"
"2016","Quintile 2","18","Wales","Woman","1420","4560","0.312"
"2017","Quintile 2","18","Wales","Woman","1340","4530","0.295"
"2018","Quintile 2","18","Wales","Woman","1310","4280","0.306"
"2019","Quintile 2","18","Wales","Woman","1310","4250","0.309"
"2020","Quintile 2","18","Wales","Woman","1260","4010","0.313"
"2021","Quintile 2","18","Wales","Woman","1510","4090","0.371"
"2022","Quintile 2","18","Wales","Woman","1350","4150","0.325"
