"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2019","Quintile 3","18","England","Woman","18130","55170","0.329"
"2020","Quintile 3","18","England","Woman","19240","54200","0.355"
"2021","Quintile 3","18","England","Woman","22520","55800","0.404"
"2022","Quintile 3","18","England","Woman","21400","57250","0.374"
"2023","Quintile 3","18","England","Woman","20530","58640","0.35000000000000003"
"2024","Quintile 3","18","England","Woman","21310","59680","0.357"
"2015","Quintile 3","18","Scotland","Woman","1580","5650","0.279"
"2016","Quintile 3","18","Scotland","Woman","1590","5610","0.28400000000000003"
"2017","Quintile 3","18","Scotland","Woman","1550","5260","0.293"
"2018","Quintile 3","18","Scotland","Woman","1580","5200","0.304"
"2019","Quintile 3","18","Scotland","Woman","1510","5040","0.3"
"2020","Quintile 3","18","Scotland","Woman","1550","4920","0.314"
"2021","Quintile 3","18","Scotland","Woman","1670","5030","0.331"
"2022","Quintile 3","18","Scotland","Woman","1670","5180","0.323"
"2023","Quintile 3","18","Scotland","Woman","1670","5260","0.318"
"2024","Quintile 3","18","Scotland","Woman","1630","5300","0.307"
"2015","Quintile 3","18","Wales","Woman","1000","3600","0.277"
"2016","Quintile 3","18","Wales","Woman","1000","3290","0.302"
"2017","Quintile 3","18","Wales","Woman","1020","3350","0.305"
"2018","Quintile 3","18","Wales","Woman","1040","3200","0.324"
"2019","Quintile 3","18","Wales","Woman","960","3090","0.312"
"2020","Quintile 3","18","Wales","Woman","980","3030","0.325"
"2021","Quintile 3","18","Wales","Woman","1170","3120","0.376"
"2022","Quintile 3","18","Wales","Woman","1100","3170","0.34600000000000003"
"2023","Quintile 3","18","Wales","Woman","1010","3280","0.309"
"2024","Quintile 3","18","Wales","Woman","1050","3160","0.333"
"2015","Quintile 4","18","Northern Ireland","Woman","950","2530","0.376"
"2016","Quintile 4","18","Northern Ireland","Woman","1010","2480","0.40700000000000003"
"2017","Quintile 4","18","Northern Ireland","Woman","970","2440","0.399"
