"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2020","Quintile 3","18","England","Woman","19110","55520","0.34400000000000003"
"2021","Quintile 3","18","England","Woman","22080","56520","0.391"
"2022","Quintile 3","18","England","Woman","21110","58520","0.361"
"2023","Quintile 3","18","England","Woman","20580","60080","0.343"
"2024","Quintile 3","18","England","Woman","21480","60920","0.353"
"2015","Quintile 3","18","Scotland","Woman","1380","5900","0.234"
"2016","Quintile 3","18","Scotland","Woman","1400","5960","0.23500000000000001"
"2017","Quintile 3","18","Scotland","Woman","1420","5600","0.253"
"2018","Quintile 3","18","Scotland","Woman","1380","5500","0.251"
"2019","Quintile 3","18","Scotland","Woman","1440","5340","0.27"
"2020","Quintile 3","18","Scotland","Woman","1380","5330","0.259"
"2021","Quintile 3","18","Scotland","Woman","1530","5510","0.278"
"2022","Quintile 3","18","Scotland","Woman","1640","5560","0.295"
"2023","Quintile 3","18","Scotland","Woman","1510","5720","0.264"
"2024","Quintile 3","18","Scotland","Woman","1690","5710","0.295"
"2015","Quintile 3","18","Wales","Woman","1240","4030","0.308"
"2016","Quintile 3","18","Wales","Woman","1190","3920","0.305"
"2017","Quintile 3","18","Wales","Woman","1240","3920","0.316"
"2018","Quintile 3","18","Wales","Woman","1220","3710","0.328"
"2019","Quintile 3","18","Wales","Woman","1130","3540","0.32"
"2020","Quintile 3","18","Wales","Woman","1200","3480","0.34500000000000003"
"2021","Quintile 3","18","Wales","Woman","1420","3600","0.395"
"2022","Quintile 3","18","Wales","Woman","1350","3700","0.364"
"2023","Quintile 3","18","Wales","Woman","1230","3920","0.314"
"2024","Quintile 3","18","Wales","Woman","1220","3660","0.332"
"2015","Quintile 4","18","Northern Ireland","Woman","1060","2820","0.376"
"2016","Quintile 4","18","Northern Ireland","Woman","1090","2760","0.395"
"2017","Quintile 4","18","Northern Ireland","Woman","1030","2720","0.38"
"2018","Quintile 4","18","Northern Ireland","Woman","1000","2560","0.39"
"2019","Quintile 4","18","Northern Ireland","Woman","1020","2500","0.40800000000000003"
"2020","Quintile 4","18","Northern Ireland","Woman","1190","2480","0.47900000000000004"
"2021","Quintile 4","18","Northern Ireland","Woman","1280","2500","0.513"
"2022","Quintile 4","18","Northern Ireland","Woman","1220","2510","0.488"
"2023","Quintile 4","18","Northern Ireland","Woman","1290","2540","0.507"
"2024","Quintile 4","18","Northern Ireland","Woman","1200","2630","0.455"
"2015","Quintile 4","18","England","Woman","21500","63100","0.341"
"2016","Quintile 4","18","England","Woman","21820","62110","0.35100000000000003"
"2017","Quintile 4","18","England","Woman","22010","61910","0.355"
"2018","Quintile 4","18","England","Woman","21650","60230","0.359"
"2019","Quintile 4","18","England","Woman","21770","59980","0.363"
"2020","Quintile 4","18","England","Woman","23210","58880","0.394"
"2021","Quintile 4","18","England","Woman","26760","60510","0.442"
"2022","Quintile 4","18","England","Woman","25690","61760","0.41600000000000004"
"2023","Quintile 4","18","England","Woman","24720","63400","0.39"
"2024","Quintile 4","18","England","Woman","25740","63930","0.403"
"2015","Quintile 4","18","Scotland","Woman","1970","6630","0.297"
"2016","Quintile 4","18","Scotland","Woman","1980","6490","0.305"
"2017","Quintile 4","18","Scotland","Woman","2000","6320","0.317"
"2018","Quintile 4","18","Scotland","Woman","2070","6200","0.334"
"2019","Quintile 4","18","Scotland","Woman","1900","5890","0.323"
"2020","Quintile 4","18","Scotland","Woman","1990","5810","0.343"
"2021","Quintile 4","18","Scotland","Woman","2190","5930","0.369"
"2022","Quintile 4","18","Scotland","Woman","2260","6130","0.368"
"2023","Quintile 4","18","Scotland","Woman","2170","6220","0.34900000000000003"
"2024","Quintile 4","18","Scotland","Woman","2260","6440","0.35100000000000003"
"2015","Quintile 4","18","Wales","Woman","1070","2920","0.367"
"2016","Quintile 4","18","Wales","Woman","980","2800","0.35100000000000003"
"2017","Quintile 4","18","Wales","Woman","980","2680","0.365"
"2018","Quintile 4","18","Wales","Woman","1050","2710","0.385"
"2019","Quintile 4","18","Wales","Woman","980","2570","0.383"
"2020","Quintile 4","18","Wales","Woman","990","2520","0.393"
"2021","Quintile 4","18","Wales","Woman","1130","2520","0.448"
"2022","Quintile 4","18","Wales","Woman","1150","2640","0.434"
"2023","Quintile 4","18","Wales","Woman","1040","2610","0.397"
"2024","Quintile 4","18","Wales","Woman","1110","2650","0.417"
"2015","Quintile 5","18","Northern Ireland","Woman","1550","3340","0.464"
"2016","Quintile 5","18","Northern Ireland","Woman","1610","3270","0.494"
"2017","Quintile 5","18","Northern Ireland","Woman","1550","3220","0.48"
"2018","Quintile 5","18","Northern Ireland","Woman","1460","3030","0.48"
"2019","Quintile 5","18","Northern Ireland","Woman","1430","2970","0.481"
"2020","Quintile 5","18","Northern Ireland","Woman","1750","2960","0.59"
"2021","Quintile 5","18","Northern Ireland","Woman","1810","2980","0.606"
"2022","Quintile 5","18","Northern Ireland","Woman","1840","3020","0.61"
"2023","Quintile 5","18","Northern Ireland","Woman","1730","3070","0.5640000000000001"
